100 Ft Road, Karachi, Pakistan
100 Quarter, Karachi, Pakistan
17 Bus Stop, Karachi, Pakistan
19-D, Karachi, Pakistan
2 Talwar, Karachi, Pakistan
26 Street, Karachi, Pakistan
26th Street, Karachi, Pakistan
3 Talwar, Karachi, Pakistan
36-b Area, Karachi, Pakistan
36-b Auliya Masjid Burmi Colony, Karachi, Pakistan
36-c Area, Karachi, Pakistan
4-j Bus Stop, Karachi, Pakistan
4-k Chowrangi, Karachi, Pakistan
500 Quarters, Karachi, Pakistan
5000 Ft Road, Karachi, Pakistan
5-f Area, Karachi, Pakistan
7th Day Hospital, Karachi, Pakistan
89 Bus Stop, Karachi, Pakistan
8th Chowk, Karachi, Pakistan
Abbasi Market, Karachi, Pakistan
Abbasi Shaheed Hospital, Karachi, Pakistan
Abdul Hameed Badayuni College, Karachi, Pakistan
Abdul Rehman Goth, Karachi, Pakistan
Abdullah College, Karachi, Pakistan
Abdullah Goth, Karachi, Pakistan
Abdullah Shah Ghazi, Karachi, Pakistan
Abdullah Shah Ghazi Road, Karachi, Pakistan
Abiabad, Karachi, Pakistan
Abiabad Orangi Town, Karachi, Pakistan
Abidabad, Karachi, Pakistan
Abidabad Baldia, Karachi, Pakistan
Abro Salt Works Ibrahim Hyderi, Karachi, Pakistan
Abu Bakar Siddiq Road, Karachi, Pakistan
Abul Hassan Isphani Road, Karachi, Pakistan
Achanak Hotal, Karachi, Pakistan
Ack Ack School, Karachi, Pakistan
Adam Road, Karachi, Pakistan
Adamji Nager Block-a, Karachi, Pakistan
Afridi Chowk, Karachi, Pakistan
Agha Khan Hospital, Karachi, Pakistan
Agha Khan Jamat Khana, Karachi, Pakistan
Agha Khan Road, Karachi, Pakistan
Agra Khan Road, Karachi, Pakistan
Agra Taj, Karachi, Pakistan
Agra Taj Colony, Karachi, Pakistan
Agra Taj Hanif Manzil, Karachi, Pakistan
Ahsanabad, Karachi, Pakistan
Airport, Karachi, Pakistan
Airport Old Area, Karachi, Pakistan
Aisha Manzil, Karachi, Pakistan
Akbar Shah Goth, Karachi, Pakistan
Akhter Colony, Karachi, Pakistan
Al Asif Square, Karachi, Pakistan
Al- Hyderi State Bank, Karachi, Pakistan
Al Majid School, Karachi, Pakistan
Al Noor, Karachi, Pakistan
Al Noor Society, Karachi, Pakistan
Al Shifa Terminal No 4, Karachi, Pakistan
Aladin Park, Karachi, Pakistan
Alamgir Road, Karachi, Pakistan
Al-asif Plaza, Karachi, Pakistan
Al-asif Square, Karachi, Pakistan
Al-azam Town, Karachi, Pakistan
Al-hyderi, Karachi, Pakistan
Ali Nagar, Karachi, Pakistan
Ali Talpur Road, Karachi, Pakistan
Aliabad, Karachi, Pakistan
Allah Wali, Karachi, Pakistan
Allahwala Town, Karachi, Pakistan
Allahwali Masjid, Karachi, Pakistan
Allahwali New Karachi No.5, Karachi, Pakistan
Allama Iqbal College, Karachi, Pakistan
Allama Rasheed Turrabi Road, Karachi, Pakistan
Anda Mor, Karachi, Pakistan
Angara Goth, Karachi, Pakistan
Arts Counicl Pakistan, Karachi, Pakistan
Asia Mor, Karachi, Pakistan
Asif Square, Karachi, Pakistan
Asif Tanki No 4, Karachi, Pakistan
Askari Apartment, Karachi, Pakistan
Asso Goth, Karachi, Pakistan
Awani Chowk, Karachi, Pakistan
Ayub Goth, Karachi, Pakistan
Azam Basti, Karachi, Pakistan
Azam Square, Karachi, Pakistan
Azeen Pura Millat Town, Karachi, Pakistan
Aziz Bhatti Park, Karachi, Pakistan
Aziz Medical Centre, Karachi, Pakistan
Azizabad, Karachi, Pakistan
Azizabad No.3, Karachi, Pakistan
Azizabad No.4, Karachi, Pakistan
Azizabad No.8, Karachi, Pakistan
Baba Urdu Road, Karachi, Pakistan
Babar Market, Karachi, Pakistan
Bacha Khan Chowk, Karachi, Pakistan
Badar Chowk, Karachi, Pakistan
Badar Hotel, Karachi, Pakistan
Badhni Goth, Karachi, Pakistan
Badil Chowrangi, Karachi, Pakistan
Bagh Jinnah, Karachi, Pakistan
Baghadi Moosa Lane, Karachi, Pakistan
Baghdadi, Karachi, Pakistan
Bahadurabad, Karachi, Pakistan
Bakhari Bijara Bhatti, Karachi, Pakistan
Bakhtawar Goth, Karachi, Pakistan
Bakrapiri, Karachi, Pakistan
Bakrapiri Mira Naka, Karachi, Pakistan
Baldia Swat Colony, Karachi, Pakistan
Baldia Town, Karachi, Pakistan
Baldia Yousuf Goth, Karachi, Pakistan
Baloch Colony, Karachi, Pakistan
Baloch Colony No 11 A&#189;, Karachi, Pakistan
Banalipara, Karachi, Pakistan
Banaras, Karachi, Pakistan
Banaras Chowk, Karachi, Pakistan
Banaras Colony, Karachi, Pakistan
Bandar Road, Karachi, Pakistan
Bara Board, Karachi, Pakistan
Bara Maidan, Karachi, Pakistan
Bara Road, Karachi, Pakistan
Baradari, Karachi, Pakistan
Barkat, Karachi, Pakistan
Barkat Hyderi, Karachi, Pakistan
Barness Street, Karachi, Pakistan
Bath Island, Karachi, Pakistan
Bawani Challi, Karachi, Pakistan
Behar Colony, Karachi, Pakistan
Bejili Nager, Karachi, Pakistan
Bhadurabad, Karachi, Pakistan
Bhains Colony, Karachi, Pakistan
Bhatti Park, Karachi, Pakistan
Bhitai Colony, Karachi, Pakistan
Bhittai Colony, Karachi, Pakistan
Bhittai Road, Karachi, Pakistan
Bhutto Colony, Karachi, Pakistan
Bhyani Heights, Karachi, Pakistan
Bihar Colony, Karachi, Pakistan
Bijli Nagar, Karachi, Pakistan
Bilal Chowrangi, Karachi, Pakistan
Bilal Colony, Karachi, Pakistan
Bilawal Chowrangi, Karachi, Pakistan
Bilawal House, Karachi, Pakistan
Biscuit Factory, Karachi, Pakistan
Bismillah Hotel, Karachi, Pakistan
Bismillah Mor, Karachi, Pakistan
Bismillah Pul, Karachi, Pakistan
Bismillah Stop, Karachi, Pakistan
Board Office, Karachi, Pakistan
Boat Basin, Karachi, Pakistan
Boat Basin Chorangi, Karachi, Pakistan
Bohrapir M.a Jinnah Road, Karachi, Pakistan
Bolton Market, Karachi, Pakistan
Brookse Chowrangi, Karachi, Pakistan
Buffer Zone, Karachi, Pakistan
Bukhramandi, Karachi, Pakistan
Burns Road, Karachi, Pakistan
Bus Stop No.6, Karachi, Pakistan
Cafe Liberty, Karachi, Pakistan
Cafe Noorani, Karachi, Pakistan
Cantt Bazar, Karachi, Pakistan
Cantt Post Office, Karachi, Pakistan
Cantt Station, Karachi, Pakistan
Capri Cinema, Karachi, Pakistan
Carela Mor, Karachi, Pakistan
Cattle Colony, Karachi, Pakistan
Central Jail, Karachi, Pakistan
Chakiwara, Karachi, Pakistan
Chaman Colony, Karachi, Pakistan
Chamra Chowrangi, Karachi, Pakistan
Chand Bibi Road, Karachi, Pakistan
Chandni Chowk, Karachi, Pakistan
Chandni Restaurant, Karachi, Pakistan
Chansar Goth, Karachi, Pakistan
Chansar Halt, Karachi, Pakistan
Chaudry Khaliq-u-zaman Road, Karachi, Pakistan
Chaukandi On National Highway, Karachi, Pakistan
Chghi Bangali Park Taveer Mahal Cinama, Karachi, Pakistan
Chirgh Hotel, Karachi, Pakistan
Chishti Nagar, Karachi, Pakistan
Chisti Nagar, Karachi, Pakistan
Chowdhry Khaliquz Zaman Road, Karachi, Pakistan
Chowrangi, Karachi, Pakistan
Chungi Benazir Chowk, Karachi, Pakistan
Chungi Naka Coast Guad, Karachi, Pakistan
Cinama, Karachi, Pakistan
City Court, Karachi, Pakistan
City Post Office, Karachi, Pakistan
City Station, Karachi, Pakistan
Civic Centre, Karachi, Pakistan
Civil Hospital, Karachi, Pakistan
Clifton, Karachi, Pakistan
Clifton Bridge, Karachi, Pakistan
Clifton Hatam Alvi Road, Karachi, Pakistan
Coast Guad, Karachi, Pakistan
College Chowrangi, Karachi, Pakistan
College Turning, Karachi, Pakistan
Colony Gate, Karachi, Pakistan
Co-poertive House Society, Karachi, Pakistan
Corporation, Karachi, Pakistan
Corporation Gate, Karachi, Pakistan
Crossing, Karachi, Pakistan
Crown Cinema, Karachi, Pakistan
Custom House, Karachi, Pakistan
D Mor, Karachi, Pakistan
D.c Office, Karachi, Pakistan
Dabba Colony, Karachi, Pakistan
Dabba Mor, Karachi, Pakistan
Dadad Bhai, Karachi, Pakistan
Dairy Farm, Karachi, Pakistan
Dak Khana Masan Road, Karachi, Pakistan
Dakkhana, Karachi, Pakistan
Dalimia Cement Factory, Karachi, Pakistan
Dalimia Cement Factory Road, Karachi, Pakistan
Dalimia Chowrangi, Karachi, Pakistan
Dalmia Drive-in-cinema, Karachi, Pakistan
Dalmia Road, Karachi, Pakistan
Dalmian, Karachi, Pakistan
Darakhashan Commercial Area, Karachi, Pakistan
Darakhshan, Karachi, Pakistan
Darbar Barkat, Karachi, Pakistan
Darsana Chana, Karachi, Pakistan
Darululoom, Karachi, Pakistan
Darul-u-uloom Masjid, Karachi, Pakistan
Dastagir, Karachi, Pakistan
Dastagir Colony, Karachi, Pakistan
Dawood Chowrangi, Karachi, Pakistan
Dawood Goth, Karachi, Pakistan
Dawood Pota Khan Road, Karachi, Pakistan
Dawood Pota Road, Karachi, Pakistan
Deen Muhammad Wafai Road, Karachi, Pakistan
Defence, Karachi, Pakistan
Defence Gol Masjid, Karachi, Pakistan
Defence Market, Karachi, Pakistan
Defence Mor, Karachi, Pakistan
Defence Society, Karachi, Pakistan
Defence View, Karachi, Pakistan
Degree College, Karachi, Pakistan
Dehli Colony, Karachi, Pakistan
Dehli Society, Karachi, Pakistan
Denso Hall, Karachi, Pakistan
Dhabi Bux Goth, Karachi, Pakistan
Dhobi Ghat, Karachi, Pakistan
Dhoraji Colony, Karachi, Pakistan
Dhoraji Society, Karachi, Pakistan
Didgah Mor, Karachi, Pakistan
Direcotrate Of School Education, Karachi, Pakistan
Disco Bakery, Karachi, Pakistan
Disco Chowk, Karachi, Pakistan
Disco Mor, Karachi, Pakistan
Dockyard, Karachi, Pakistan
Dond Goth, Karachi, Pakistan
Double Road, Karachi, Pakistan
Double Road 36-b, Karachi, Pakistan
Dr. Dawood Pota Khan Road, Karachi, Pakistan
Dr. Ziauddin Hospital, Karachi, Pakistan
Dr. Ziauddin Road, Karachi, Pakistan
Drigh Colony, Karachi, Pakistan
Drigh Colony No 2, Karachi, Pakistan
Drigh Road, Karachi, Pakistan
Drigh Road Station, Karachi, Pakistan
Drive-in-cinema, Karachi, Pakistan
Eidgah, Karachi, Pakistan
Eidgah Maidan, Karachi, Pakistan
Empress Market, Karachi, Pakistan
Empress Markett, Karachi, Pakistan
Enquiry Office, Karachi, Pakistan
Express Way, Karachi, Pakistan
Extended Jingle Wala School, Karachi, Pakistan
Eye Hospital, Karachi, Pakistan
F.b Area, Karachi, Pakistan
F-11 Stop, Karachi, Pakistan
Faisal Road, Karachi, Pakistan
Faizabad, Karachi, Pakistan
Fakir Mohammad Durra Khan Road, Karachi, Pakistan
Fan Plant, Karachi, Pakistan
Faqeer Burra Khan Road, Karachi, Pakistan
Faqeer Colony, Karachi, Pakistan
Fareed Colony, Karachi, Pakistan
Fatima Jinnah Road, Karachi, Pakistan
Fawwara Chowk, Karachi, Pakistan
Fazal Mills, Karachi, Pakistan
Filter Plant, Karachi, Pakistan
Firdous Colony, Karachi, Pakistan
Fisheries, Karachi, Pakistan
Fleet Club, Karachi, Pakistan
Frere Hall, Karachi, Pakistan
Frere Road, Karachi, Pakistan
Frere Street, Karachi, Pakistan
Fresco Chowk, Karachi, Pakistan
Frontiar Colony, Karachi, Pakistan
Frontier Mor, Karachi, Pakistan
Frontior, Karachi, Pakistan
Ftc, Karachi, Pakistan
Ftc Bulding, Karachi, Pakistan
Futre Colony, Karachi, Pakistan
G.allana Road, Karachi, Pakistan
Gaba Chowk, Karachi, Pakistan
Gabol Goth, Karachi, Pakistan
Gadap Goth, Karachi, Pakistan
Garam Chashma, Karachi, Pakistan
Garden, Karachi, Pakistan
Garden Bara Board, Karachi, Pakistan
Garden Road, Karachi, Pakistan
Geedar Colony, Karachi, Pakistan
General Motors Hub River Road, Karachi, Pakistan
Geram-ka-goth, Karachi, Pakistan
German School, Karachi, Pakistan
Germany School, Karachi, Pakistan
Ghani Chowrangi, Karachi, Pakistan
Gharib Shah Khumbarwan, Karachi, Pakistan
Gharibabad, Karachi, Pakistan
Ghas Mandi, Karachi, Pakistan
Ghas Munder Netti Jetti, Karachi, Pakistan
Ghmkhana Club, Karachi, Pakistan
Ghouspak, Karachi, Pakistan
Gizri, Karachi, Pakistan
Godhra, Karachi, Pakistan
Godhra Camp, Karachi, Pakistan
Godhra Chowk, Karachi, Pakistan
Godown Chowrangi, Karachi, Pakistan
Golden City, Karachi, Pakistan
Gole Market, Karachi, Pakistan
Golimar, Karachi, Pakistan
Gora Qabrastan, Karachi, Pakistan
Gosia Chowk, Karachi, Pakistan
Govt.comprehonsive School, Karachi, Pakistan
Gpo, Karachi, Pakistan
Grace Mari Pure, Karachi, Pakistan
Grace Village, Karachi, Pakistan
Graveyard, Karachi, Pakistan
Grax Village, Karachi, Pakistan
Green H Ismail, Karachi, Pakistan
Ground Landhi, Karachi, Pakistan
Gujjar Nala, Karachi, Pakistan
Gul Ahmed, Karachi, Pakistan
Gul Ahmed Chowrangi, Karachi, Pakistan
Gul Ahmed Mills, Karachi, Pakistan
Gul Ahmed Textile Mills, Karachi, Pakistan
Gul City, Karachi, Pakistan
Gul Mohammad Chowrangi, Karachi, Pakistan
Gulbahar, Karachi, Pakistan
Gulbai, Karachi, Pakistan
Gulbai Chowk, Karachi, Pakistan
Gulbai G.allana Road, Karachi, Pakistan
Gulberg, Karachi, Pakistan
Gulberg Colony, Karachi, Pakistan
Gulberg Textile Chowrangi, Karachi, Pakistan
Gulberg Textile Hospital Chorangi, Karachi, Pakistan
Gulistan-e-jouhar, Karachi, Pakistan
Gulshan Bihar Shah Faisal Chowk, Karachi, Pakistan
Gulshan Chowrangi, Karachi, Pakistan
Gulshan Farooq, Karachi, Pakistan
Gulshan Ghazi, Karachi, Pakistan
Gulshan Jauhar Goth, Karachi, Pakistan
Gulshan Moti Mehal, Karachi, Pakistan
Gulshan P.s Road, Karachi, Pakistan
Gulshan Thana Chowrangi, Karachi, Pakistan
Gulshan Umar, Karachi, Pakistan
Gulshanabad, Karachi, Pakistan
Gulshan-e-bahar, Karachi, Pakistan
Gulshan-e-ghazi, Karachi, Pakistan
Gulshan-e-hadeed, Karachi, Pakistan
Gulshan-e-iqbal, Karachi, Pakistan
Gulshan-e-iqbal Chowrangi, Karachi, Pakistan
Gulshan-e-mymar, Karachi, Pakistan
Gulshan-e-roofi, Karachi, Pakistan
Gulshan-e-shamim, Karachi, Pakistan
Gulshan-e-sikandar, Karachi, Pakistan
Gulzar Hijri Police Station, Karachi, Pakistan
Gurumandir, Karachi, Pakistan
H.i Rehimtullah Road, Karachi, Pakistan
Habib Bank, Karachi, Pakistan
Habib Bank Plaza, Karachi, Pakistan
Habib Chowrangi, Karachi, Pakistan
Haji Camp, Karachi, Pakistan
Haji Camp Road, Karachi, Pakistan
Haji Jikhria, Karachi, Pakistan
Hanif Manzil, Karachi, Pakistan
Harchandrai Road, Karachi, Pakistan
Hashim Goth, Karachi, Pakistan
Hassan Chowrangi, Karachi, Pakistan
Hassan Square, Karachi, Pakistan
Hassanabad, Karachi, Pakistan
Hatim Alvi Road, Karachi, Pakistan
Hawksbay, Karachi, Pakistan
Hawksbay Road, Karachi, Pakistan
Hazrat Bilal Colony, Karachi, Pakistan
Headquarters, Karachi, Pakistan
Herchandrai Road, Karachi, Pakistan
Hijaz Dairy Farm, Karachi, Pakistan
Hill Park, Karachi, Pakistan
Hoashing Road, Karachi, Pakistan
Hospital Chorangi, Karachi, Pakistan
Hub River Road, Karachi, Pakistan
Humayun Road, Karachi, Pakistan
Hussain Chawk, Karachi, Pakistan
Hussain D. Sliva Extension, Karachi, Pakistan
Hussain D.silva, Karachi, Pakistan
Hussain Mills, Karachi, Pakistan
Hussainabad, Karachi, Pakistan
Hussaini Sajjadia, Karachi, Pakistan
Hyderabad Colony, Karachi, Pakistan
Hyderi, Karachi, Pakistan
I.i Chundrigar Road, Karachi, Pakistan
Ibrahim Hyderi, Karachi, Pakistan
Ibrahim Hyderi Police Station, Karachi, Pakistan
Ici Bridge, Karachi, Pakistan
Imam Bara, Karachi, Pakistan
Imam Hospital, Karachi, Pakistan
Indian High Commission Office, Karachi, Pakistan
Industrial Area, Karachi, Pakistan
Ingle Road, Karachi, Pakistan
Inverarity Road, Karachi, Pakistan
Iqbal Market, Karachi, Pakistan
Iqbal Shaheed Road, Karachi, Pakistan
Ishaqbad, Karachi, Pakistan
Islam Chowk, Karachi, Pakistan
Islamia College, Karachi, Pakistan
Ismail Jamat Khana, Karachi, Pakistan
Ispahani Road, Karachi, Pakistan
Ittehad Colony, Karachi, Pakistan
Ittehad Town, Karachi, Pakistan
Jaffer Faddo Road, Karachi, Pakistan
Jahangir Road, Karachi, Pakistan
Jahangirabad, Karachi, Pakistan
Jail Chowrangi, Karachi, Pakistan
Jail Martin Road, Karachi, Pakistan
Jail Road, Karachi, Pakistan
Jam Goth, Karachi, Pakistan
Jam Sadiq Ali Road, Karachi, Pakistan
Jama Cloth, Karachi, Pakistan
Jama Cloth Market, Karachi, Pakistan
Jama Goth, Karachi, Pakistan
Jama Masjid Ibrahim Hyderi, Karachi, Pakistan
Jama Masjid Shahdman Town, Karachi, Pakistan
Jamat Khana, Karachi, Pakistan
Jamia Mehnodia, Karachi, Pakistan
Jamia Millia College, Karachi, Pakistan
Jamila Street, Karachi, Pakistan
Jamshed Road, Karachi, Pakistan
Jauhar Chowrangi, Karachi, Pakistan
Jauhar Mor, Karachi, Pakistan
Jauhar Road, Karachi, Pakistan
Jauhar Square, Karachi, Pakistan
Javedan Cement Factory, Karachi, Pakistan
Jehangir Road, Karachi, Pakistan
Jet Line, Karachi, Pakistan
Jet Lines, Karachi, Pakistan
Jinnah Airport Entrance, Karachi, Pakistan
Jinnah Avenue, Karachi, Pakistan
Jinnah Central Hospital, Karachi, Pakistan
Jinnah Hospital, Karachi, Pakistan
Jinnah Hospitall, Karachi, Pakistan
Jinnah Medical College, Karachi, Pakistan
Jinnah Park, Karachi, Pakistan
Jinnah Road, Karachi, Pakistan
Jinnah Square, Karachi, Pakistan
Jubliee Cinema, Karachi, Pakistan
Juna Market, Karachi, Pakistan
K- Area, Karachi, Pakistan
K.d.a Office, Karachi, Pakistan
K.d.a Pump House, Karachi, Pakistan
K.v Seciety Hospital, Karachi, Pakistan
Kakri Ground, Karachi, Pakistan
Kala Board, Karachi, Pakistan
Kala Board Malir, Karachi, Pakistan
Kala School, Karachi, Pakistan
Kalapul, Karachi, Pakistan
Kali Market, Karachi, Pakistan
Kaloo Hotal, Karachi, Pakistan
Kalri, Karachi, Pakistan
Kambela, Karachi, Pakistan
Karachi Central Jail, Karachi, Pakistan
Karachi University, Karachi, Pakistan
Kardar, Karachi, Pakistan
Karella Mour, Karachi, Pakistan
Karimabad, Karachi, Pakistan
Karsaz, Karachi, Pakistan
Kashmir Chowrangi, Karachi, Pakistan
Kashmir Road, Karachi, Pakistan
Kawari Colony, Karachi, Pakistan
Kazafi Town, Karachi, Pakistan
Kazimabad, Karachi, Pakistan
Kda Asphalt Pland, Karachi, Pakistan
Kda Chowrangi, Karachi, Pakistan
Kda Civic Centre, Karachi, Pakistan
Kda Cowrangi, Karachi, Pakistan
Kda Office, Karachi, Pakistan
Kda Site Office, Karachi, Pakistan
Kda Stop, Karachi, Pakistan
Keamari, Karachi, Pakistan
Kenker, Karachi, Pakistan
Kesc Colony, Karachi, Pakistan
Khadda Quaters, Karachi, Pakistan
Khaddi Stop, Karachi, Pakistan
Khaja Jamat Khana, Karachi, Pakistan
Khajoor Bazar, Karachi, Pakistan
Khajoor Market, Karachi, Pakistan
Khalid Bin Waleed Road, Karachi, Pakistan
Khaliq-u-zaman Road, Karachi, Pakistan
Kharadar, Karachi, Pakistan
Kharadar Bughadadi, Karachi, Pakistan
Kharkar Chowrangi, Karachi, Pakistan
Khawaj Ajmer Nagri, Karachi, Pakistan
Khawaj Ajmeri Nagri, Karachi, Pakistan
Khawaja Ajmeer Nagri, Karachi, Pakistan
Khayaban-e-iqbal, Karachi, Pakistan
Khayaban-e-jami, Karachi, Pakistan
Khayaban-e-shamsher, Karachi, Pakistan
Khayaban-e-shanshee, Karachi, Pakistan
Khoja Jamat Khana, Karachi, Pakistan
Khoja Jamat Khana Chowk, Karachi, Pakistan
Khokrapar, Karachi, Pakistan
Khokrapar No 1, Karachi, Pakistan
Khokrapar No 2, Karachi, Pakistan
Khokrapar No 3, Karachi, Pakistan
Khokrapar No 4, Karachi, Pakistan
Khuda Ki Basti, Karachi, Pakistan
Khudadad Colony, Karachi, Pakistan
Khyaban Dhamsher, Karachi, Pakistan
Khyaban Ghalib, Karachi, Pakistan
Khyaban Ittehad, Karachi, Pakistan
Khyaban Rahat, Karachi, Pakistan
Khyaban Roomi, Karachi, Pakistan
Khyaban Saadi, Karachi, Pakistan
Khyaban Shamsher, Karachi, Pakistan
Khyaban-e-baharia, Karachi, Pakistan
Khyaban-e-hafiz, Karachi, Pakistan
Khyaban-e-ittehad, Karachi, Pakistan
Khyaban-e-shershah Sori, Karachi, Pakistan
